id,state,name,address_line1,address_line2,city,district,pin_code
47620,Uttrakhand,"SHRI MAHADEVI GIRI SNATAKOTAR MAHAVIDYALAYA, HALDWANI","Devalchaur, P.O. Manpur West",Rampur Road,Haldwani,Nainital,111111
52220,Odisha,"Binapani Degree College, Dhumabhata",DHUMABHATA,DHUMABHATA,PATNAGARH,Balangir,767026
39367,Odisha,"Mahamayee Mahila Mahaidyalaya, Berhampur",GANDHI NAGAR,3rd LINE EXTN.,BERHAMPUR,Ganjam,760001
50548,Gujarat,CENTRAL INSTITUTE OF PLASTICS AND ENGINEERING,plot no 630,phase-4,vatva GIDC,Ahmadabad,382445
43077,Maharashtra,"Bharatiya Mahavidyalaya , Badnera Road","Badnera Road,",Rajapeth,Amravati,Amravati,444601
7008,Karnataka,"R.Muddarangegowda College of Education, Sira",GURUKULA EXTECTION JYOTHINAGAR SIRA TOWN TUMKUR DIST,GURUKA EXTECTION JYOTHINAGAR SIRA TOWN TUMKUR DIST,sira,Tumkur,572137
48881,Uttar Pradesh,SATYAM SHIVAM SHUBHAM D/C TIKARI,Tikari,Gharwanpur,Allahabad,Allahabad,222301
9398,Manipur,Nambol L. Sanoi College,KONGKHAMPAT,"PO / PS: Nambol, PIN: 795134",NAMBOL,Bishnupur,795134
11666,Kerala,"Labour India College of Teacher Education, Marangattupally P.O., Kottayam-686 635",Marangattupilly. P. O,Marangattupilly,Pala,Kottayam,686635
19882,Telangana,Sree Chaitanya Institute of Pharmaceutical Sciences,LMD COLONY,THIMMAPUR,KARIMNAGAR-505 527,Karimnagar,505527
39324,Odisha,"AMCS College, Tikabali",AT-PO- TIKABALI,P.S- TIKABALI,TIKABALI,Kandhamal,762010
27175,Telangana,Sree Chaitanya College of Engineering,"LMD COLONY,THIMMAPOOR",KARIMNAGAR-505 527,KARIMNAGAR,Karimnagar,505527
29268,Punjab,"Guru Teg Bahadur Khalsa College for Women, Dasuya",Guru Teg Bahadur Khalsa College For Women,G.T. Road,Dasuya,Hoshiarpur,144205
11420,Himachal Pradesh,"Guru Gobind Singh Memorial College, Ponta Sahib, Sirmour",subhkhera,...,Paonta Sahib,Sirmaur,173025
53484,Himachal Pradesh,GOVT. ENGINEERING COLLEGE KOTLA (JEORI),CAMP AT JNGEC SUNDERNAGAR,DISTT. MANDI,SUNDERNAGAR,Shimla,175018
16410,West Bengal,Chittaranjan National Cancer Institute,"37, S. P. MUKHERJEE ROAD",NA,KOLKATA,Kolkata,700026
35656,Karnataka,"Manorama College of Business Administarion, K. C. Rani Road Hatalgeri Naaka, Vidyanagar, Masaari, Gadag.",K.C.Rani Road Near Hatalageri Naka,Vidyanagar Masari Gadag,Gadag,Gadag,582101
51092,Punjab,Shaheed Baba Jiwan Singh Khalsa College,"Satlani Sahib, Hoshiar Nagar,",Dist Amritsar,Amritsar,Amritsar,143107
10039,Karnataka,"VISHWABHARATI ARTS & COMM COLLEGE, TURNUR","VISHWABHARATI ARTS & COMM COLLEGE, TURNUR",TQ. RAMDURG,RAMDURG,Belgaum,591123
31042,Punjab,"R.S.D.College, Ferozepur",Outside Makhu Gate,Mallanwala Road,Ferozepur City,Firozpur,152002
19817,Telangana,Teegala Ram Reddy College of Pharmacy,"4-202,MEERPET, SAROORNAGAR",0,HYDERABAD,Hyderabad,500097
14786,Tamil Nadu,CSI Bishop Newbigin College of Education,"109,Dr.RadhaKrishnan Road,",Mylapore.,Chennai,Chennai,600004
29153,Punjab,"Shiv Shakti College of Nursing, Bhikhi, Distt. Mansa","Shiv Shakti College of Nursing,bhikhi",Bhikhi,Bhikhi,Mansa,151504
45242,Maharashtra,"ROYAL COLLEGE OF EDUCATION AND RESEARCH FOR WOMEN AT ROYAL COLLEGE, THANE","Royal College Campus,Penkarpada,",NA,miraroad,Thane,401107
14961,Tamil Nadu,Mahendhra College of Education,Kumaramangalam,Kumaramangalam P.O.,Tiruchengode,Namakkal,637205
14175,Uttar Pradesh,"Ramji Sahay Mahavidyalay, Rudrapur, Deoria",Ramji sahai post graduate college,Rudrapur,Deoria,Deoria,274204
12081,Uttar Pradesh,"SRI UPENDRA TIWARI SMRATI MAHAVIDYALAYA, SAWAYAJPUR,",SAWAYAJPUR,SAWAYAJPUR,HARDOI,Hardoi,241123
13139,Rajasthan,Jia Lal Institute of Education,Ram Ganj,Beawar Road,Ajmer,Ajmer,305001
40881,Odisha,"Ispat College,Rourkela",Sector-16,NA,Rourkela,Sundargarh,769003
11743,Kerala,"University College of Pharmacy, Cheruvandoor, Ettumanoor P.O., Kottayam",Mahatma Gandhi University,"Ettumanoor P.O., Cheruvandoor",Kottayam,Kottayam,686631
44952,Telangana,"APOORVA INSTITUTE OF MANAGEMENT & SCIENCES, BHUPATHIPOOR",Bhoopathipoor,Bhoopathipoor,karimnagar,Karimnagar,505186
40929,Odisha,Maa Maheswari College,"At/Po- Baunsuni, Dist-Boudh",NA,NA,Baudh,762015
19018,Bihar,"L.N.D. College, Motihari",HOSPITAL ROAD,MOTIHARI,EAST CHAMPARAN,Sitamarhi,845401
50614,Maharashtra,"Dr D Y Patil Educational Federation Dr D Y Patil College of Engineering & Innovation, Varale, Talegaon, Maval","27/A/1/2C Near Talegaon Railway Station, A/p Varale","Taluka Maval, Dist- Pune 410507","Varale, Taluka Maval Dist Pune 410507",Pune,410507
27868,Punjab,BBK DAV College for women Amritsar,Lawrence Road,NA,Amritsar,Amritsar,143001
48139,Kerala,SREEKRISHNA COLLEGE OF PHARMACY AND RESEARCH CENTRE,"Near Railway Station, Parassala.P.O",Neyyattinkara,Thiruvananthapuram,Thiruvananthapuram,695502
34755,Madhya Pradesh,GOVT. COLLEGE ALAMPUR,alampur teh lahar distt bhind,NA,alampur,Bhind,477449
27934,Punjab,S.S.M. College Dina Nagar,G.T. ROAD,DINANAGAR,DINANAGAR,Gurdaspur,143531
29396,Punjab,A.S.College Khanna,"Samrala Road, Khanna",NA,KHANNA,Ludhiana,141402
36388,Tamil Nadu,"Tirupattur Arts and Science College,SalaiNagar,VaniyambadiRoad,Tirupattur-635 506","Vaniyambadi Road, Tirupattur",Tirupattur (Tk),Tirupattur,Vellore,635506
50613,Maharashtra,"Dr D Y Patil Educational Federation Dr D Y Patil Institute of Management & Entrepreneur Development,Varale, Talegaon, Maval","27/A/1/2C Near Talegaon Railway Station, A/p Varale","Taluka Maval, Dist- Pune 410507","Varale, Taluka Maval Dist Pune 410507",Pune,410507
29432,Punjab,"DAV College for Girls,Garhshankar",NEAR TELEPHONE EXCHANGE GARHSHANKAR,RAWALPINDI ROAD GARHSHANKAR,GARHSHANKAR,Hoshiarpur,144527
26367,Karnataka,B252 Doddappa Appa College of Education Basavakalyan,"Doddappa college of education BED,Basvakalyan",SSKB arts and science college campus basvakalyan,Basavakalyan,Bidar,585327
17129,Assam,Mankachar College,Mankachar,"Vill. College Nagar, P.O. & P.S. Mankachar",Dhubri,Dhubri,783131
19726,Telangana,Nalla Narasimha Reddy Education Society Group of Institutions,The Director,"Choudari guda, Koremula X Road, Ghatkesar Mandal",hyderabad,Rangareddy,500088
29121,Punjab,"Silver Oaks College of Nursing, Abhipur, Tehsil Khizrabad, Distt. Mohali","Village-Abhipur, P.O. Khizrabad, Distt.-Mohali",NA,NA,Sahibzada Ajit Singh Nagar,140109
29357,Punjab,"Mata Ganga Khalsa College for Girls, Kottan","G T Road, Manji Sahib",NA,Ludhiana,Ludhiana,141412
42995,Maharashtra,"G.S. Science , Arts And Commerce College , Khamgaon","Nandura Road,",National Highway No. 6,Khamgaon,Buldana,444303
12789,Uttar Pradesh,"LUCKNOW DEGREE COLLEGE, HARDOI ROAD",LUCKNOW DEGREE COLLEGE BAZ NAGAR KAKORI HARDI ROAD LUCKNOW,LUCKNOW DEGREE COLLEGE BAZ NAGAR KAKORI HARDI ROAD LUCKNOW,LUCKNOW,Lucknow,226107
45401,Jharkhand,"SAHIBGANJ COLLEGE, SAHIBGANJ",College Road,Sahibganj,Sahibganj,Sahibganj,816109
17697,Karnataka,"Sri Ragavendra College of Education, Chitradurga","k.B.extention, fort road",Chitradurga,Chitradurga,Chitradurga,577501
27983,Punjab,"Guru Nanak College of Education for Women, Kapurthala","The Mall,","Opp. G. P. O.,",Kapurthala,Kapurthala,144601
12393,Uttar Pradesh,"SRI KRISHNA JANKA DEVI MAHAVIDYALAYA, DILWAL,",DILWAL-MANGALPUR,VILL-BARI,KANPUR DEHAT,Kanpur Dehat,209310
7581,Maharashtra,"Swatantraya Sainik Suryabhanji Pawar College, Purna",ADARSH COLONY PURNA(Jn),TQ.PURNA,PURNA,Parbhani,431511
29134,Punjab,"VMS College of Nursing & Paramedical Sciences, Said Mubarak, Amritsar Road, Batala",AMRITSAR ROAD,0,BATALA,Gurdaspur,143505
39126,Rajasthan,"Sanjay TT College, Jaipur","Near New Assembly,","Lal Kothi Scheme, Tonk Road,",Jaipur,Jaipur,302015
47922,Madhya Pradesh,"KAMLESH MAHAVIDYALAYA, BHIND",VILLAGE AND POST RAIPURA,MACHHAND TEHSIL RAUN,BHIND,Bhind,477441
47605,Uttrakhand,"UTTARANCHAL AYURVEDIC COLLEGE, RAJPUR ROAD, DEHRADUN",old mussoorie raod,rajpur,dehradun,Dehradun,248001
29301,Punjab,"Sri Satya Sai Education College, Karaiwala","VPO Karaiwala, PO Ram Nagar, Tehsil Gidderbaha, Distt. Sri Muktsar Sahib",NA,NA,Muktsar,152112
35489,Karnataka,"Manorama College of Computer Application, K. C. Rani Road, Hatalgeri Naaka, Vidyanagar, Massari, Gadag.",K.C.Rani Road Near Hatalageri Naka,"Vidyanagar, Masari, Gadag",Gadag,Gadag,582101
27981,Punjab,S.N. College Banga,SIKH NATIONAL COLLEGE,CHARAN KANWAL,BANGA,Shahid Bhagat Singh Nagar,144505
35130,Madhya Pradesh,"VNS Institute of Management, Neelbad Road, Bhopal",VNS CAMPUS VIDYA VIHAR,NATHU BARKHEDA,BHOPAL,Bhopal,462044
31039,Punjab,"DD Jain Memorial College for Women, Ludhiana","Kidwai Nagar,","Suffian Bagh, Near Mini Rose Garden",Ludhiana,Ludhiana,141008
19692,Telangana,Sri Indu Institute of Engineering and Technology,"KHALSA IBRAHIMPATNAM,","IBRAHIMPATNAM,",HYDERABAD,Rangareddy,501510
21786,Chhatisgarh,"Ramkrishana Institute of Education, Sunder Nagar",Sunder Nagar Raipuir,"58-59 Sunder Nagar, Raipur",Raipur,Raipur,492001
18980,Bihar,"R.C.College, Dholi, Sakra, Muzaffarpur",At-Sakra,Post-Dholi,Muzaffarpur,Muzaffarpur,843105
51329,Rajasthan,Swami Keshvanand Institute of Pharmacy,Ramnagaria,"Jagatpura,",Jaipur,Jaipur,302017
24837,Andhra Pradesh,"St. Marys Degree College, Bucchireddypalem","BOMBAY ROAD, BUCHIREDDYPALEM",SPSR NELLORE DT,NELLORE,Sri Potti Sriramulu Nellore,524305
31770,Madhya Pradesh,COMMERCE COLLEGE SATNA,Prem Nagar Satna (M.P.),Prem Nagar Satna (M.P.),Satna,Satna,485001
10079,Karnataka,"LET'S SRI LAXMANRAO JARKIHOLI COLLEGE OF BBA, GOKAK",Vidya Nagar,NA,Gokak,Belgaum,591307
35227,Madhya Pradesh,"Swami Dayanand Sarwati College, Bairagarh, Bhopal",38-48/2/2 gram bhauri bhopal indore bypass road,near raksha vihar,bhopal,Bhopal,462030
